Sample;SUM+LOI; Sum (%);LOI (%);Test;Weight;Na2O (%);MgO (%);Al2O3 (%);SiO2 (%);K2O (%);CaO (%);TiO2 (%);Fe2O3 (%);MnO (%);P2O5 (%)
NCSDC_28012a (dolomite);102.928;58.658;44.27;LOI CALCINATION_1stRun;13.000;0.29;22.39;0.37;2.22;0.02;32.71;0.03;0.27;0.01;0.27
NCSDC_28012a (dolomite);103.125;58.855;44.27;LOI CALCINATION_2ndRun;13.000;0.21;22.29;0.32;2.21;0.02;33.12;0.02;0.27;0.01;0.28
NCSDC_28012a (dolomite);103.152;58.882;44.27;LOI CALCINATION_3rdRun;13.000;0.07;22.58;0.27;2.20;0.07;33.00;0.02;0.26;0.01;0.31
NCSDC_28012a (dolomite);104.247;59.487;44.76;LOI EQUATION_1stRun;12.800;0.14;22.57;0.34;2.34;0.09;33.32;0.02;0.28;0.01;0.27
NCSDC_28012a (dolomite);104.793;60.033;44.76;LOI EQUATION_2ndRun;12.800;0.21;22.32;0.36;2.32;0.00;34.13;0.04;0.28;0.01;0.29
NCSDC_28012a (dolomite);105.099;60.339;44.76;LOI EQUATION_3rdRun;12.800;0.02;22.89;0.38;2.33;0.00;33.99;0.03;0.28;0.01;0.32
NCSDC_28012a (dolomite);105.035;59.455;45.58;LOI COMPANY_1stRun;12.800;0.14;22.55;0.34;2.34;0.09;33.30;0.02;0.28;0.01;0.27
NCSDC_28012a (dolomite);105.581;60.001;45.58;LOI COMPANY_2ndRun;12.800;0.21;22.30;0.36;2.32;0.00;34.12;0.04;0.28;0.01;0.29
NCSDC_28012a (dolomite);105.887;60.307;45.58;LOI COMPANY_3rdRun;12.800;0.02;22.87;0.38;2.33;0.00;33.97;0.03;0.28;0.01;0.32
NCSDC_28012a (dolomite);103.775;59.505;44.27;LOI CALCINATION_1stRun;12.800;0.14;22.57;0.34;2.34;0.09;33.33;0.02;0.28;0.01;0.27
NCSDC_28012a (dolomite);104.322;60.052;44.27;LOI CALCINATION_2ndRun;12.800;0.21;22.32;0.36;2.32;0.00;34.14;0.04;0.28;0.01;0.29
NCSDC_28012a (dolomite);104.628;60.358;44.27;LOI CALCINATION_3rdRun;12.800;0.02;22.89;0.38;2.34;0.00;34.00;0.03;0.28;0.01;0.32
NCSDC_28012a (dolomite);0;0;gravim;REFERENCE VALUES;;0.012;20.92;0.23;1.48;0.085;30.94;0.0080;0.26;0.011;0.00
NCSDC_28012a (dolomite);0;0;0.07;REFERENCE DEVIATION (k=2);;0.001;0.08;0.01;0.03;0.003;0.09;0.0005;0.01;0.001;0.00
NCSDC_28012a (dolomite);0;0;;abs.dev. from calib line/ NOT IN THE CALIB;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
NCSDC_28012a (dolomite);0;0;;rel.dev. from calib line/ NOT IN THE CALIB;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
