Sample,Na2O,MgO,Al2O3,SiO2,P2O5,S,K2O,CaO,TiO2,Fe2O3,Rb,Sr,Y,Zr,Nb,Ba,Th,Cr,Co,Ni,Cu,Zn,Ga,As,Pb,Sn,V,Cl,Mn,LOI,initial weight,final weight,Weight
N45,0.0105,0.0255,0.0892,0.5116,0.0003224,0,0.0145,0.1504,0.0042,0.0331,0.0000654,0.000155,0.0000261,0.0001654,0.0000228,0.0008503,0.0000038,0.0000966,0,0.0000676,0.0000263,0.0000413,0.0000134,0.0000039,0.0000068,0.0000259,0.0000362,0.0000592,0.0007483,17.22,13.2,12.937,0.263
N46,0.0343,0.012,0.1559,0.6595,0.0002285,0,0.0479,0.004,0.0069,0.0366,0.0001879,0.0003033,0.000044,0.0003247,0.0000268,0.001109,0.0000251,0.0000237,0,0.0000095,0.0000181,0.0000347,0.0000192,0.0000078,0.0000439,0.0000363,0.0000418,0.0000571,0.0000849,5.47,13.2,13.078,0.122
N47,0.0223,0.0069,0.1431,0.7116,0.0002977,0.0059,0.0401,0.0061,0.005,0.0301,0.0001648,0.000205,0.0000426,0.0004596,0.0000257,0.0009785,0.0000282,0.0000496,0,0.000021,0.0000231,0.0000284,0.0000183,0.0000072,0.0000338,0,0.0000649,0.0000599,0.0005891,5.3,13.2,13.08,0.12
N48,0.0053,0.0358,0.1129,0.5622,0.0001561,0,0.023,0.0766,0.006,0.0696,0.0001074,0.0001227,0.0000237,0.000163,0.0000236,0.0007762,0.77 PPM,0.0005137,0.0000279,0.0002481,0.0000459,0.00008,0.0000134,0.0000575,0,0.0000085,0.0000425,0.0001992,0.0006297,10.3,13.2,13.02,0.18
N49,0.0257,0.0091,0.1404,0.6897,0.0005623,0.0004,0.0417,0.0076,0.0045,0.0264,0.0002191,0.0002632,0.0000303,0.0002652,0.0000248,0.0008356,0.0000172,0.0000137,0,0.0000104,0.0000174,0.0000353,0.0000181,0.0000095,0.0000314,0,0.0000169,0.0000661,0.0004045,6.72,13.2,13.063,0.137
N50,0.008,0.0184,0.0723,0.2941,0,,0.0148,0.3063,0.0032,0.0277,0.0000524,0.0001226,0.0000193,0.0001162,0.0000303,0.0008674,0.000008,0.0000631,0,0.0000323,0.0000327,0.0000335,0.0000105,0.0000048,0.0000033,0.0000203,0.0000423,0.0001796,0.0007592,28.13,13.2,12.806,0.394
N51A,0.0198,0.0641,0.1083,0.4495,0.0005714,0,0.0107,0.1104,0.0094,0.0797,0.0000319,0.0001511,0.0000212,0.0000982,0.0000264,0.0008669,0.0000092,0.0005349,0.0000019,0.0003007,0.0000639,0.0000505,0.0000152,0.0000026,0.0000054,0.0000049,0.0001136,0.0000529,0.001362,14.72,13.2,12.967,0.233
N51B,0.0173,0.0385,0.1402,0.5596,0.0004048,0.0001,0.0195,0.0301,0.0112,0.0858,0.0000676,0.0001468,0.0000281,0.0001871,0.0000294,0.000798,0.0000109,0.0006153,0,0.0002726,0.000055,0.0000683,0.0000188,0.0000083,0,0.0000037,0.0001534,0.000058,0.00163,10.05,13.2,13.023,0.177
N52,0.0085,0.0325,0.1616,0.4375,0.0003645,0,0.0238,0.0705,0.008,0.0754,0.000118,0.0000783,0.0000292,0.0002141,0.0000246,0.0009299,0.0000108,0.0000984,0,0.000056,0.0000314,0.0000945,0.000019,0.0000121,0.0000177,0,0.0000961,0.000061,0.001172,18.8,13.2,12.918,0.282
N53,0,0,0,0,0,0.0024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N54A,0.0405,0.0114,0.1233,0.6586,0.000116,0.0017,0.0188,0.0053,0.0057,0.0547,0.0000891,0.0000818,0.0000226,0.0002034,0.0000316,0.0005549,0.0000077,0.0003025,0,0.0002211,0.000038,0.0000484,0.0000161,0.0000112,0.0000145,0,0.0000915,0.001383,0.001368,10.47,13.2,13.018,0.182
N54B,0.032,0.0084,0.1039,0.6903,0.0000022,0,0.0243,0.0203,0.0042,0.0319,0.000097,0.0001034,0.000033,0.0002485,0.0000203,0.000889,0.0000119,0.0001695,0,0.0000954,0.0000307,0.0000366,0.0000132,0.0000089,0.0000172,0,,0.001387,0.0007478,6.97,13.2,13.06,0.14
